# token<TAB>count OR token1<TAB>token2<TAB>count OR token1<TAB>token2<TAB>token3<TAB>count
你	980000
我	995000
好	970000
是	990000
的	1000000
问题	880000
翻译	800000
结果	850000
输入法	850000
学习	850000
优化	810000
修改	830000
本地	790000
词库	760000
候选	730000
继续	800000
完善	740000
你	好	950000
你	是	谁	900000
你	好	吗	880000
我	知道	850000
我	来	处理	820000
晚点	再	处理	760000
还是	有	问题	840000
没有	翻译	结果	720000
翻译	结果	在哪里	700000
只是	提示词	680000
不是	成功	翻译	640000
英文	没有	选择	620000
不能	形成	句子	610000
数据库	不够	600000
词库	不够	590000
需要	优化	650000
继续	优化	630000
继续	完善	620000
请	检查	700000
请	修复	690000
请	确认	680000
构建	成功	670000
构建	失败	650000
输入法	设置	640000
本地	词库	630000
本地	学习	620000
个人	学习	610000
自动	学习	600000
拼音	输入	650000
英文	输入	630000
候选	列表	600000
用户	词库	620000
隐私	模式	610000
离线	翻译	590000
本地	翻译	600000
宠物	成长	520000
每日	签到	500000
学习	计划	620000
数学	复习	600000
英语	学习	610000
材料	基础	580000
知识点	总结	570000
题目	解析	590000
重点	难点	560000
I	will	handle	820000
will	handle	it	810000
handle	it	later	790000
please	check	it	760000
please	fix	it	750000
please	confirm	it	740000
there	is	a	720000
is	a	problem	710000
there	is	still	700000
is	still	a	690000
translation	result	where	500000
build	succeeded	650000
build	failed	640000
local	dictionary	620000
user	dictionary	610000
input	method	600000
privacy	mode	590000
professional	version	560000
continue	improving	550000
